车辆ID,左车道速度,右车道速度,总平均速度
bus14033,24.3,,24.3
bus14037,25.2,,25.2
bus14047,27.6,,27.6
bus14050,14.9,,14.9
bus14058,23.51,,23.51
bus14089,25.79,,25.79
bus14100,30.4,,30.4
bus14105,20.74,,20.74
bus14131,24.9,,24.9
bus14142,25.3,,25.3
bus14145,38.0,,38.0
bus1415,44.7,,44.7
bus14154,28.98,,28.98
bus14158,29.44,,29.44
bus14160,36.13,,36.13
bus14163,17.91,,17.91
bus14177,20.7,,20.7
bus14185,23.69,,23.69
bus14192,36.87,,36.87
bus14195,23.73,,23.73
bus14197,24.91,,24.91
bus14203,33.9,,33.9
bus14208,33.2,,33.2
bus14211,33.89,,33.89
bus1422,36.58,,36.58
bus14225,19.36,,19.36
bus14229,40.7,,40.7
bus14230,29.64,,29.64
bus1424,22.35,,22.35
bus14240,22.4,,22.4
bus14244,25.81,,25.81
bus14253,29.13,,29.13
bus14254,21.64,,21.64
bus14266,41.39,,41.39
bus1427,30.64,,30.64
bus14282,26.67,,26.67
bus14289,18.82,,18.82
bus1429,37.18,,37.18
bus14291,26.5,,26.5
bus14294,21.15,,21.15
bus14306,22.62,,22.62
bus14307,20.78,,20.78
bus14313,26.09,,26.09
bus14316,23.17,,23.17
bus14323,27.9,,27.9
bus14326,19.86,,19.86
bus14338,19.83,,19.83
bus1434,23.14,,23.14
bus14364,25.5,,25.5
bus14365,19.59,,19.59
bus14368,14.4,,14.4
bus14380,19.2,,19.2
bus14385,20.4,,20.4
bus14393,23.79,,23.79
bus14409,14.72,,14.72
bus14420,13.52,,13.52
bus14431,22.1,,22.1
bus14437,15.7,,15.7
bus14441,17.52,,17.52
bus14445,30.45,,30.45
bus14450,2.14,,2.14
bus14455,31.7,,31.7
bus14459,10.67,,10.67
bus1446,34.43,,34.43
bus14460,10.5,,10.5
bus1447,44.29,,44.29
bus14470,13.4,,13.4
bus14473,14.0,,14.0
bus14474,12.22,,12.22
bus14479,12.63,,12.63
bus1448,28.17,,28.17
bus1451,41.47,,41.47
bus14510,3.73,,3.73
bus14523,9.28,,9.28
bus14527,5.6,,5.6
bus14535,18.4,,18.4
bus14540,13.32,,13.32
bus14552,23.22,,23.22
bus14555,21.77,,21.77
bus14565,11.4,,11.4
bus1457,35.52,,35.52
bus14571,5.85,,5.85
bus14574,15.61,,15.61
bus14583,10.9,,10.9
bus14593,13.42,,13.42
bus14618,10.4,,10.4
bus14623,5.79,,5.79
bus14631,20.0,,20.0
bus14634,27.3,,27.3
bus14638,20.77,,20.77
bus14641,17.2,,17.2
bus14644,12.1,,12.1
bus14647,15.73,,15.73
bus14655,2.1,,2.1
bus14669,41.22,,41.22
bus14675,22.3,,22.3
bus14677,34.4,,34.4
bus14684,33.8,,33.8
bus14688,25.13,,25.13
bus1469,35.69,,35.69
bus14697,14.59,,14.59
bus14713,10.44,,10.44
bus14716,18.0,,18.0
bus14717,13.81,,13.81
bus14726,12.84,,12.84
bus14735,13.68,,13.68
bus14739,15.5,,15.5
bus1477,25.51,,25.51
bus14770,19.87,,19.87
bus14783,16.23,,16.23
bus1479,28.36,,28.36
bus14796,19.26,,19.26
bus14804,19.01,,19.01
bus14819,22.78,,22.78
bus14829,18.58,,18.58
bus14837,20.8,,20.8
bus14842,33.4,,33.4
bus14846,19.3,,19.3
bus14847,21.2,,21.2
bus14849,23.94,,23.94
bus14853,23.26,,23.26
bus14862,21.31,,21.31
bus14866,26.47,,26.47
bus14867,27.71,,27.71
bus14875,21.7,,21.7
bus14876,33.05,,33.05
bus14879,22.32,,22.32
bus14882,38.0,,38.0
bus14892,26.05,,26.05
bus14894,15.4,,15.4
bus14904,26.2,,26.2
bus14909,31.5,,31.5
